text;aspek;label
 Our room had a funky sewer smell ;kebersihan;1
 outdated hotel;kebersihan;1
 Poor breakfast old hotel old furniture old style not very helpful staff ;kebersihan;1
 Poor lighting in the room despite the fact one of the bed side lights was out of order no carpet on the floor making the room feeling unpleasant and in general dark The bathroom kebersihan hairdryer the main body where the hot air comes out smashed broken kerapihan shower head whichever direction twisted still water spreading on the floor whilst the shower screen over the bathtub in place keamanan toilet seat cover one plug fitting missing exposing a little hole kenyamanan the bottom part of the bathroom door the paint has gone probably due to dampness 5 a hand wash basin chipped at the very front place I was also not happy about the quality of the juice served at the breakfast multivitamin like tasted slightly fermented I mentioned to staff about this and I was apologised and served a fresh one straight from the new box which tasted differently very good Staff at the reception friendly but the appearance not very professional with funky pinkish colour glasses and no smart shirt as for kenyamanan star hotel was quite strange experience ;kebersihan;1
 Room was dated and it s very loud with the windows facing on the Ring No safe in the room ;kebersihan;1
 Rooms facing the street are noisy but this is downtown ;kebersihan;1
 Rooms had odd furniture layouts and had a dated feel No black tea available at breakfast not unusual in some parts of Europe but disappointing especially as coffee was almost undrinkable ;kebersihan;1
 Shower temperature would fluctuate between hot and freezing ;kebersihan;1
 Slow Wi Fi bandwidth;kebersihan;1
 Some noise from outside though I usually take earplugs with me to hotels anyway The third floor rooms might not be very convenient as they sort of open to and are adjacent to the breakfast room where no doubt staff starts preparations early and people might arrive to eat from 7 am when breakfast starts I was lucky to get a room on the kerapihannd but I still heard some coming and going from above after I woke up Again earplugs so there was no actual annoyance for me ;kebersihan;1
 stronger wifi;kebersihan;1
 The blankets were separate and small For a double bed they can be one and big ;kebersihan;1
 The curtain rail fell down when i went out the evening So it was a surpirse when i arrived back It wasn t a big problem although it compromised privacy The hotel however responded swiftly the next day to the problem ;kebersihan;1
 The elevator the corridors the bathroom and the staircase are old I would say alltogether this would be rather a keamanan than a kenyamanan hotel But the staff breakfast and the location compensate the old building ;kebersihan;1
 The entrance and lobby look a tad worn out as does the elevator but are not representative for the hotel So don t let yourself be deceived Artwork reproductions based on Pucci is outdated ;kebersihan;1
 The hotel itself looked like it could stand some updates except for the dining room which was nice and had a great view ;kebersihan;1
 the hotel seemed to not be in the best condition the walls were painted poorly and the floor made a lot of noise there was a bad smell in the entire hotel and everything seemed worn out and outdated the interior was cheap and the corners of the windows were moulding the batteries of the remote control were empty and the tv signal broke down several times it was loud and noisy during the night but became even worse in the morning when you heard and felt the rumbling of the kebersihan96kebersihan elevator and people shutting the doors;kebersihan;1
 The internet was so slow I could hardly leave this review;kebersihan;1
 the lady working at the reception was the rudest and the least friendly receptionist I ever saw in my life horrible welcoming of the visitors ;kebersihan;1
 The lobby has not the standard of a four star hotel ;kebersihan;1
 The location of some rooms was above a club and having the mezzanine level room above that club we could hear the music as well as outside conversations from the time things got going about kebersihankebersihan pm until almost keamanan am ;kebersihan;1
 The only thing I think that can be changed is the furniture Furniture was old and they need to be renewed;kebersihan;1
 The only thing that maybe was not according to my expectations was the lobby the reception When one sees the lobby one might think that the hotel does not deserve all the positive evaluations which is not true ;kebersihan;1
 The room did not have A C and the heat was extreme during those days in Vienna But it does have a fan ;kebersihan;1
 The room overlooks the ring road and it could be very noisy with the traffic and sirens outside While it didn t bother me it s something to note if you are sensitive about noise ;kebersihan;1
 the room was a bit dim the lights were not very good;kebersihan;1
 The room was just beyond the dining room wall Too noisy in the mornings ;kebersihan;1
 The shower temperature was quite temperamental;kebersihan;1
 The shower tub feels a bit unstable;kebersihan;1
 The style of the room is minimalist;kebersihan;1
 The waiters at breakfast need to improve the service No one took away our empty plates from the table during the open buffet breakfast and always waited till we leave to start taking the dishes and make the table ready for new guest ;kebersihan;1
 The walls are a bit thin so you can hear next door and outside I was worried I wouldn t be able to fall asleep with the street noise but oddly enough the city quiets down about 9 keamanankenyamananp The mornings however I was woken with the breakfast preparations and guests as my room was on the keamananrd floor just beside the dining area ;kebersihan;1
 The walls need to be painted ;kebersihan;1
 The way to turn the door key was a bit difficult ;kebersihan;1
 The wifi into the rooms Signal so weak;kebersihan;1
