,Page_url,nama-responden,date-stay,title,text,date-post,rev
0,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or690-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Ahmed A,Date of stay: September 2015,Best ever,"(+): Spacious room.. Quiet room.. Great hotel breakfast.. Duty manager Mr. Bagus Adit is very cooperative &amp; helpful.. Just across front of hotel, there're many jimbaran seafood restaurants.. All staff are friendly.. (-): Garden view is actually car parking view.. Aircon in garden view room is noisy &amp; turns on&amp;off itself in some periodic time (but not in pool view room).. Cheap LG central Aircon isn't cool enough.. a bit underpower of btu.. Outlet Aircon is near to bed, so its airflow blows the face while sleeping.. No hotel beach..",Ahmed A wrote a review Sep 2015,Positive
1,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or405-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Arnaud D.,Date of stay: December 2016,"Great rooms, smokey location","1/ Good welcoming 2/ Quick service request 3/ Very near to Menega :) 4/ Employees were friendy 5/ Cool pool :) I am so recommend Le Meridien Bali Jimbaran for staying with friends, couple even for family. Love it!",Arnaud D. wrote a review Jan 2017,Positive
2,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or420-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,han0fee,Date of stay: January 2017,Beware of breakfast rate,"2 bed suite: 175sqm of space with a view to the pool area. The two bedrooms are quite far apart allowing good parents vs kids separation. Both have large bathrooms. There are a couple of balconies and a terrace to the back. The living room has a dining area and a sofa area that are reasonable. During our stay in December, there were minor building works on the adjacent plot. Occasional noise was a slight annoyance. Overall, the room served its purpose but this is more of a 4 star standard than 5 star. The resort: surprisingly small with everything wrapped around d the pool area. The kids pool and club are good for toddlers. The main pool snakes around the complex but it is not very large. The restaurant serves basics well. The breakfast buffet is satisfactory, but nothing; …",han0fee wrote a review Jan 2017,Positive
3,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or110-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"20 years ago we enjoyed 2 lovely weeks at the Le Meridien in Bali. Last week we returned for lunch, unfortunately the ""old"" hotel is now a Trump resort and the Le Meridien Bali is housed in a ramshackled worn out 3 star property unworthy of being branded with such a famous name. Unlike us check before you book, even lunch let alone stay.", ,Negative
4,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or485-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"6 of us stayed for 8 nights on a Luxury Escapes special. The staff were so lovely it became like family. The morning of check out my husband had to be taken to hospital, the Night Manager Julius was professional and his experience was invaluable as he guided me with which hospital and his staff with how to transport my husband etc.He and the Security Manager went above and beyond the call of duty for us on the 24th August as well as beyond their normal hours of work which l hope will be recognised by Star Group shareholders. Thankyou Le Meridien for a memorable stay - very warm memories from our whole group.", ,Positive
5,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or1095-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,John G,Date of stay: May 2013,Great Introduction to Bali,A beautiful hotel with beautiful people Perfect place to stay for couple who want to explore jimbaran and south Kuta.The lagoon view room is highly recommanded. Amazing restaurants to have romantic dinner on the beach with your love one! A dream that should never ends...,John G wrote a review May 2013,Positive
6,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or705-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html, , , ,"A beautifully located hotel with exceptional staff, service and amenities. A huge lagoon pool winds its way through this architecturally splendid hotel. Not absolute beachfront, but the beach is only a few steps away.The views from the rooftop bar, especially at sunset, are beautiful.Just outside the hotel , the beach is lined with seafood cafes, where tables are set on the sand to view the magnificent sunsets. The seafood is freshly caught and cooked to order over coals...and incredibly cheap! The hotel's restaurant , by the pool, is excellent and not expensive.", ,Positive
7,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or880-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Jod-leeP,Date of stay: August 2014,Amazing,"A couple of days into a 5 night stay, and it seems something isn't quite right here. The place has very few guests - even fewer using the hotel facilities. Ok, it's not high season but it's quiet - too quiet. Could be because they are intentionally supporting the local community by keeping their ""in hotel"" prices so high, not sure, but value isn't great here. Don't get me wrong, our room is pleasant enough, spacious and clean - although we are situated adjacent to the road where the local dogs and roosters wake you early - not the hotels fault of course, but when the place is nearly empty, perhaps a room further away from the noise or even an upgrade opportunity would have made a difference. Great location close to the beach and restaurants. Staff are friendly enough. It's; …",Jod-leeP wrote a review Aug 2014,Negative
8,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or270-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,Kelda J,Date of stay: July 2017,Highly Recommend,A fabulous hotel !!! Staff were wonderful. Very accommodating and went out of their way to provide the best service. The General Manager seems to be very hands on which is unusual as most hotels I've stayed at the GM is never around. This hotel GM greets her guests as if she is welcoming them into her home. At breakfast she came to ask us if we needed anything extra and if we were enjoying our stay. She approached us again at the pool area on another day and again offered to take care of anything that we may need. A special personal touch. Great service!!! The rooms are lovely well decorated and very spacious. The pool is large with lots of sun and we liked having a room with direct pool access. This was a treat. The restaurant serves delicious food and all restaurant staff; …,Kelda J wrote a review Jul 2017,Positive
9,https://www.tripadvisor.com/Hotel_Review-g297696-d3477476-Reviews-or1135-Le_Meridien_Bali_Jimbaran-Jimbaran_South_Kuta_Bali.html,babydenisa,Date of stay: December 2012,Astonishingly obscured for a $250 hotel rooms.,"A few friends and I got to the Le Meridien on 12/27...just in time for the soft opening of the hotel. The rooms were spectacular. My room actually had pool access right from the balcony which was incredible. The design and style of the hotel is unique. On the back side of the hotel, are the famous Jimbaran seafood restaurants where you sit on the beach to eat freshly caught fish. The manager of the hotel Simon is really, really fantastic. He was very interested in making sure we had everything we needed and solicited our opinions on the staff (which were all fantastically nice and helpful). Apparently, next month they are going to open two-level suites with their own pool and barbecue area. Very excited to come back and see those. This hotel is incredible.",babydenisa wrote a review Jan 2013,Positive
