,page url,nama-responden,date-review,title,text,date-stay,rev
0,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or645-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"(This is a review of the lodge - I have a separate review of the park) We arrived at around noon time to a lackluster welcome before things got really bad. The front desk staff told us that we had a paddy view room in the opposite side of the park behind the restaurant and the shop (can't see elephants, difficult to access swimming pool and breakfast). We told him that our Expedia reservation said ""standard room, view"" and nothing about a paddy view and we wanted the park view. He then brought out a list of pricing (only valid until March even though we went in April) wanting to charge us $700 for the park view room. If you look at the list, the ""standard room"" is listed apart from paddy view, garden view, and park view so there is no logic whatsoever beyond a sorry attempt; …", ,Negative
1,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1120-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"*This review is only about the park, not the hotel* I came to Ubud with my fiancee and we were both excited to see the elephants so we decided to visit the Elephant Safari. I can't put my finger on it, but after less than an hour something made us want to leave. Maybe it was the way most of the elephants were chained to the ground by a leg around the back perimeter of the park while a few roamed freely around the front where most of the park attendees were. Maybe it was the video playing on repeat in the restaurant touting the park's founders as heroes for ""saving"" the elephants... something about the park just didn't feel right to us... so we left with an uneasy feeling in our guts as we drove back to Ubud.", ,Negative
2,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or280-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Jongirdham,Jongirdham wrote a review Sep 2017,Day out on hols,"1,650,000 pp (Indonesian Rupiah) = £95 pp approx We did really enjoy our time there but are confident that you would get a lot more for your money elsewhere. We were highly recommended to go here and experience their romantic candle lit dinner under the stars while getting a tour and ride on the elephants. Although the park was beautiful it was small and the tour did not take very long. We were given an hour free time in which we could visit the shop or buy a drink. This time was slightly unnecessary as there wasnt a lot for us to do. The actual riding of the elephants was great and our guide was very friendly and funny. The dinner was buffet style and sadly mediocre for the price we were paying.",Date of stay: September 2017,Positive
3,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or435-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,flytoPV,flytoPV wrote a review Sep 2016,Beautiful animals,"A 1.5 hour journey from Sanur. Interesting to find out about the different elephants and their backgrounds. Each elephant has an individual trainer and someone to care for them. While not as good as seeing an elephant in the wild it was a great privilege to get up so close to these magnificent animals and pet and feed them. Would I ride one again, no. Buffet lunch was excellent but you had to pay twice the normal price for drinks. I recommend this as a one-off trip via one of the main Bali tour organisers if you have approx £80pp to spend for half a day.",Date of stay: September 2016,Positive
4,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or55-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Jonesy,Jonesy wrote a review Aug 2019,Amazing Place,A beautiful retreat for elephants and people alike. We didn’t spend long enough here but met the baby elephant and had dinner in the restaurant where we could sit and watch the elephants. It appeared that the elephants are tested with respect and the place had a peaceful and relaxing feel to it the food was reasonably priced and tasty. A very pleasant visit. Would recommend if you love elephants.,Date of stay: September 2018,Positive
5,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1115-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Dianne R,Dianne R wrote a review Oct 2011,gorgeous creatures,"A beautifully designed complex. The elephants are the stars and their is plenty of opportunity to see them and interact. Staying overnight hugely enhances the experience by proving quieter opportunities to ride, wash and generally enjoy the elephants outside peak day tour time. Staff throughout the complex are helpful and the mahouts and other elephant staf extremely imformative. Highly recommended!",Date of stay: September 2011,Positive
6,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or500-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Ashley L,Ashley L wrote a review Jun 2016,"Great experience, but felt conflicted","A great experience with the beautiful elephants who are treated very well and not forced to drag tourists around all day. Wonderful rooms, great food and especially the swimming with the elephants was such a lovely and special experience. Show and the pickup are ok, but not the most exiting. Do not hesitate to take a spa break, the body treatments, massage and face treatments are magnificent.",Date of stay: May 2016,Positive
7,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or260-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Jonnyboy1958,Jonnyboy1958 wrote a review Oct 2017,Dreams are made here.,"A great place for adults and kids alike. An experience to ride an elephant, see the show and learn about these magnificent creatures. You can feed and pat them and take plenty of photos. What a magic experience.",Date of stay: September 2017,Positive
8,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or190-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Carolyn D,Carolyn D wrote a review Jul 2018,Great experience!,"A great place to visit. Fantastic staff, awesome food and service, and a great relaxing environment to spend a day out visiting some huge creatures. A courtesy bus picked us up and took us back home from our villa. Highly recommended!",Date of stay: July 2018,Positive
9,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or240-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,SamanthaGiselle,SamanthaGiselle wrote a review Mar 2018,Exploitative,"A great ride and bathing of an elephant. Had a lovely lunch, and some souviner shopping finished off the experience. A must try whilst in Ubud. I plan to stay at the lodge the next time I visit. Not too far a drive from Ubud and well worth a visit.",Date of stay: February 2018,Positive
10,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or685-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Gsum8,Gsum8 wrote a review Feb 2015,Happy little Ellie's,"A group of 6 friends booked this trip from our hotel. The van picked us up from the park which was very convenient. The cost was 60pp which included a delicious buffet lunch afterwards. You get to watch the elephants have there baths, feed them then go for a half hour ride through some lovely garden paths. Each elephant has their own handler who was very informative about the park and elephants while we were on our ride. The elephants appear to very well cared for. It was a wonderful experience that I would highly recommend",Date of stay: January 2015,Positive
11,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or335-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"A must trip, our best day in Bali. The elephants are amazing and so well cared for. You get to feed the elephants, watch a show and the best bit of the day you get to ride one. The lunch is very good as well. We had the pleasure of meeting Nigel whilst there, you can see the passion he has for the elephants. I can't recommend this trip enough.", ,Positive
12,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1030-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Andrew B,Andrew B wrote a review Sep 2012,meet the elephants!,"A really well thought out lodge that looks out onto Elephants, the lodge is high in the hills of Bali and the elephants, mostly rescued by the parks owner are a total delight, the room is way comfortable, and you are picked up from your balcony by an elephant ... trample those golf buggies they would . The food is excellent and the staff are great. the grounds are covered in Orchids. You can also go white water rafting or mountain bike riding .... so much to do or just sit and chill with the Elephants",Date of stay: August 2012,Positive
13,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or150-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,djtazie,djtazie wrote a review Oct 2018,Stayed 2 nights,A special experience being able to get so close to an elephant . You can wash an elephant or bathe with one .The elephants are able to roam free here and the staff seem to genuinely love these fabulous creatures . The elephants look happy and well cared for .It is well worth a visit.,Date of stay: September 2018,Positive
14,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or565-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Manda P,Manda P wrote a review Nov 2015,Nice place with elephants surrounded you.,"A stay at Elephant Safari Park and Lodge has to be considered a must if you as we are in our family - facinated by Elephants! To be so close to them - feeding them, bathing them or just watching them. This experience is made perfect by the unique surroundings and a fantastic staff at the park and lodge. Thank you for making this a very special visit to Bali for our family.",Date of stay: November 2015,Positive
15,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or630-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html, , , ,"Absolutely amazing and faultless, we would highly recommend to eveyone. So well presented and the elephants are all obviously very happy to be there. The food available was delicious and the staff extremely friendly and attentive.", ,Positive
16,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or1175-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Ifonlyicould,Ifonlyicould wrote a review Oct 2010,Do not miss this experience in Bali!,"Absolutely amazing and worth every penny. Went with two kids under the age of three and they loved it. The lodge is 5 star service and accommodation. Was pricey for lodge but was pleasantly surprised that almost everything was included. Did not feel nickle and dime'd. The staff was wonderful. Room was clean, modern and spacious. The park itself made the whole experience worth it. If you are even thinking about it.....Do it. You will not be disappointed.",Date of stay: July 2010,Positive
17,https://www.tripadvisor.com/Hotel_Review-g297701-d1174492-Reviews-or330-Mason_Elephant_Lodge-Ubud_Gianyar_Regency_Bali.html,Cassie S,Cassie S wrote a review Jun 2017,Breakfast & Bath with the elephants experience,"Absolutely fabulous . Elephants well cared for, very contented and engaging. Safety paramount. Staff generous, knowledgeable and mahouts very tuned in. Bathing elephants in the morning, jungle ride and being delivered for dinner on elephant were memorable experiences. Five star accommodation. Beautiful park. Great experience, great cause and very inspiring.",Date of stay: May 2017,Positive
