,Page url,nama-responden,date-review,title,date-stay,text,rev
0,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2455-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,rthenu,rthenu wrote a review Dec 2015,Stunning View,Date of stay: December 2015,"45 minute driving from Ubud Central. The area far from crowds. The new hotel (soft opening). View was awesome specially morning sunrise. Very spacious room, equip with capsule coffee machine, DVD player (with no dvd disc hahaha). Bathroom also spacious. The infinity pool with warm water is the great spot for relax. Need improvement on room service food (availability and quality).",Positive
1,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2325-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Jacky Y,Jacky Y wrote a review Jul 2016,Wonderful Stay at Padma Ubud,Date of stay: July 2016,"A beautiful resort built with Balinese way. The room is clean, the pool is fantastic, every staffs are very friendly. We book a premium deluxe room and had a late check in to the resort, we been upgraded to a premium club room with a beautiful pool view! Thank you Padma Ubud, you surprised us. The pool water is warm and nice, we soaked ourselves in the pool everyday. The food in the restaurant are good, Chef Ketut is friendly and he really care for every guest satisfaction by visiting every table to talk to the guest. Spa staffs are very friendly equiped with professional skill, we booked total 3 spa session and we really enjoy it so much. The resort activities are good but we missed all that activities because we had our planned program with a local tour agent, that's why",Positive
2,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2465-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Kerry C,Kerry C wrote a review Oct 2015,Pre 'soft opening' at Padma Resort Puhu Ubud,Date of stay: October 2015,"A few days ago, I got a chance to stay at Padma Resort Ubud with my friends. As someone who had stayed at their sister hotel, Padma Legian, I have high expectations. This is because I had experience first hand the quality of hotels, staff, service there. And after two nights of staying in Padma Ubud, I must say they did not disappoint. We did not expect that the resort will be further - down in Payangan - area. We can see that there's some construction going on because it was not 100% finished yet. And even though the pathway that leads to the hotel was beautiful - we could only imagine how amazing it will be once the trees are big and lush throughout the entire hotel. Yes, we can see some construction. But the friendliness of the staff makes up for it. They were very polite.",Positive
3,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2240-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Christine O,Christine O wrote a review Oct 2016,Best hotel experience,Date of stay: October 2016,"A gem in Ubud. Like everything you could think of (except the temperature of the pool) is perfect! The hotel is new, we were told they opened in February 2016. It's beautifully made. From the reception to the gym. My son was happily feeding the fish with one of the staff :) Everyone was so helpful and friendly to our two kids. Helped with the luggage or anything else you could struggle with. The room we had (I believe every room looks the same, has a perfect layout, spacious bathroom, kingsize bed, modern and earthy furniture and a balcony with a great view. The only restaurant for breakfast and dining has great views too. A huge selection of asian and western dishes. Every single dish we had was delicious! One thing the could improve though is to leave the guests eat and be",Positive
4,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or15-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Silvia H,Silvia H wrote a review Jan 10,A very nice hospitality,Date of stay: January 2021,"A lot of activities here from yoga, archery, golf, cycling, a tons of kids activity that will you had a maximum leisure time. Aerial yoga & morning cycling conducted by Mr. Made was amazing experience, worth for woke up early. The heated pool is stunning.",Positive
5,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2315-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Anitat23,Anitat23 wrote a review Aug 2016,10/10 luxury,Date of stay: March 2016,A must for lovers of the movie Avatar as the resort unknowingly reflects this movie. Needless to say staff food pool room views all absolutely amazing. Did not want to leave after 3 glorious nights. If you want to get away in total relaxation in a beautiful jungle setting this is the place. We made one trip into Ubud (40 mins) but could not wait to return to the resort for a great dinner near the pool and a magnificent night swim in the absolutely incredible infinity pool. My wife had 3 treatments in the spa she says it was great to go to a Resort spa and not have to take out a bank loan. The value was fantastic. Overall we can't rate it higher enough. We now move on to Padma Legian rested to take on a couple of adventures there.,Positive
6,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2140-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Cassandra C,Cassandra C wrote a review Jan 2017,Breathtaking,Date of stay: January 2017,"A must stay! The infinity pool is amazing, so much so that it won a worldwide competition ""pool nation"" The staff go over and beyond! Nicko in the restaurant is wonderful. Highly recommended. Even just a few relaxing nights!! Plus there are activties you can do at the resort. Like bicycle tour, learn balinese conversations,make balinese offerings etc ALL INCLUDED IN YOUR STAY.",Positive
7,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2375-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Chad M,Chad M wrote a review Jun 2016,Retreat from reality,Date of stay: June 2016,"A must to do while in Bali. The resort is about 45 minutes from Ubud but you won't want to leave. The resort is beautiful. There are great walk trails down to the river and the hotel has lots of activities. Must do is the cycling, you get to see rice fields small villages and some amazing views. This hotel is new and the rooms are incredible, luxury bathrooms, beautiful balcony etc. breakfast buffet for a king. The staff are incredible, so kind and accommodating. We will be back for our 3rd visit real soon. Thank you Padma Ubud for a great visit",Positive
8,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2260-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,karnalim,karnalim wrote a review Sep 2016,Fantastic Stay,Date of stay: September 2016,"A Very nice resort in Ubud, The room, Views from the room , and infinity pool are really incredible for us. love to come back here for my next holiday. Breakfast and dinner also very nice. The staffs are very friendly.",Positive
9,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2415-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Karen E,Karen E wrote a review Apr 2016,Amazing,Date of stay: April 2016,"Absolutely beautiful place to stay. Amazing attention to detail in every way. The pool is fantastic overlooking the Jungle as is the dinning area. The day spa is under ground in a cave like area.The rooms are very generous with a huge bathroom and bath over looking the view.Staff were very helpful The only draw back is it is about 40 min north of Ubud and absolutely nothing around the hotel.The hotel offer free shuttle bus into Ubud and activities throughout the day. My Husband did the Bike ride and said it was fantastic ""A must Do"" If you want to relax this is the place but only for a few days.",Positive
10,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2265-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Azzie61,Azzie61 wrote a review Sep 2016,M&B package,Date of stay: September 2016,"Absolutely loved our stay here. One of the highlights were the yoga classes held by Budi. I even managed to get my teenage boys to participate . The pool, the location, service etc were fantastic. The only issue we had were the water bottles in both resorts are very hard to open . The design could be improved",Positive
11,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2335-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Hendry G,Hendry G wrote a review Jul 2016,Detox,Date of stay: July 2016,"Absolutely stunning resort. I came here with my mum and we both agreed that it looks like the type of hotel you have your honeymoon at. Gorgeous rooms - so new and modern and fancy! Buffet breakfast and afternoon tea included. Lovely staff! Amazing pool - which is heated to suit the outside temperature. So if it's cold outside, the pool is warm but not too hot. Great swim up bar. There is a number of included activities that are accessible to you in your pay package. Including sunrise and sunset yoga, bicycle riding, scavenger hunt for the kids, there's a bamboo bridge walk, 2.5km walking track, village visit, kite activities, muscle toning activities, planting and more!! Didn't get a chance to do it all as we only stayed a few days but the sunrise yoga was great, bridge and",Positive
12,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2390-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Belina M,Belina M wrote a review May 2016,Heaven,Date of stay: May 2016,"Absolutely the Most Fabulous Resort we have ever stayed at. We were greeted with a wonderful warm welcome by Ari at the front gate, to all the staff in the resort a big thank you to you all. The rooms were beautifully presented. The Infinity Pool with swim up bar and surrounding gardens and scenery were Breathtaking! The Restaurant at night produced a wonderful atmosphere and the Food 5 star. Afternoon Tea in the afternoon was a Lovely Touch also.( many thanks to Marzella for keeping my husband entertained with the soccer competition.) All in all a Fabulous Stay.",Positive
13,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2125-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,Jess L,Jess L wrote a review Jan 2017,Couldn't be happier,Date of stay: January 2017,"After booking 8 nights accom at the Padma in Legian, we wanted to spend a day in Ubud. The concierge offered us a night at this hotel as a free exchange. We weren't sure at first however so glad we did as we could not have been more impressed with this hotel. Suited for a peaceful relaxing retreat. The rooms, faculties and staff were amazing. Nothing was too difficult for the staff, they always had a smile on their face and endeavoured to get to know us during our short stay. I wouldn't consider staying anywhere else now.",Positive
14,https://www.tripadvisor.com/Hotel_Review-g608492-d7907965-Reviews-or2235-Padma_Resort_Ubud-Payangan_Gianyar_Regency_Bali.html,TerriandSteve2006,TerriandSteve2006 wrote a review Oct 2016,OUTSTANDING.,Date of stay: October 2016,"After spending 7 nights at PADMA LEGION,we stayed 2 nights here.WOW! Absolutely stunning in everyway.The staff were excellent and so helpful at all times.The Pool,grounds and rooms were faultless.Stayed here as a family of four with 2 girls aged 7 and 6.They were treated so well by the staff and as well by the kids club also. Try the daily bike ride on offer if you're up for it.The guide,Lenor,takes you to a temple,off road through rice fields and past local houses and gives a great insight into Balinese life. All in all......can't wait to return.",Positive
