,page url,date-stay,date-post,nama-responden,text,title,rev
0,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or25-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: December 2019,Travel guy wrote a review Jan 2020,Travel guy,". The food was exquisite. Indonesian dishes were incredibly well prepared and flavorful. Western dishes surpassed the same dishes that can be found in upscale restaurants in new york city. 4/5 instead of a 5/5 because overall, there are many hotels and resorts in Bali that offer similar services and activities at slightly lower prices",Amazing hotel,Positive
1,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or165-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"1. It was December 2014 (4 years ago) that I last stayed in Viceroy Bali. And, for the 3rd time I came back once again and enjoyed myself in The #1 Resort in the World by Conde Nast Traveler for 3 days 2 nights! Had an amazing 8-course dinner at their newly opened European restaurant, Apéritif Restaurant &amp; Bar this November, 2018! and 2-hour Spa Treatment at Lembah Spa. 2. Upon arrival, amazing warm welcome extended to me and only after 10-minute check-in process, I was escorted to the villa with the Buggy service! 3. Viceroy Bali is just 5 minutes' drive from central Ubud and provides free shuttle services to Ubud Centre which are available by request! And, only 1-hour drive from Ngurah Rai International Airport (Bali Airport), 4. During my stay, I stayed at two (2); …", ,Positive
2,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or225-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: July 2018,Joshua H wrote a review Jul 2018,Joshua H,"A 20 hr journey from Europe is worthwhile when you step into this corner of paradise. From the moment you arrive until the time you leave you feel well looked after and at ease. The tranquil surroundings and attentive but never intrusive staff make this the perfect luxury escape. We stayed in a deluxe pool villa and were not disappointed, it was furnished beautifully, very comfortable and very private. The private pool with its own pagoda is beautiful. We stayed here for the first few days of our honeymoon and although it was clear there were a few other honeymooning couples there at the same time we were always given a very individual and personal service. All the staff are friendly and seem genuinely happy, always greeting you with smiles. Would highly recommend and would; …",Your own private paradise,Positive
3,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1090-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: May 2011,DxB_Traveler wrote a review May 2011,DxB_Traveler,"A genuine welcome, luxurious spacious rooms, friendly courteous staff, all in all every thing we wanted for this visit exceeding our expectations. The concierge and hotel drivers were terrific, with nothing too much trouble. The restaurant staff were very friendly and breakfasts were excellent. A very relaxing stay with plenty of time to relax and recharge.",Great service ..,Positive
4,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or95-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: May 2019,SSingh4 wrote a review May 2019,SSingh4,"A great first stop on our Bali honeymoon. Hotel provided a late night pick-up at the airport and we were wowed by our Terrace Pool Villa. As mentioned, breakfast is fantastic and we found all staff to be helpful. We were a little disappointed to arrive and learn the spa was closed but in room services did their best to make up for it. The new restaurant - Apertiff - was incredible. My only complaints / warnings (if you can even call them that): 1. Villa pool didn’t heat very well and felt too cold for us to enjoy. 2. Room desperately needs a make-up mirror for women as dim lighting makes getting ready a challenge. A second shower head in the giant shower would also be a big plus! 3. While we loved the cooking tour booked by the hotel, be forewarned that the hotel’s bike tour; …","Beautiful hotel, amazing staff",Positive
5,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1145-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: October 2009,Bedouins wrote a review Feb 2010,Bedouins,A truly great resort. Small and personal. Attention to detail. We kept prolonging our stay. We enjoyed the Viceroy enormously. Thanks to the staff and Margareth for making our stay wonderful. Great restaurant too!,Awsome and a gem of a hideaway,Positive
6,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or155-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"A very nice hotel. The arrival wasn’t brilliant as we drove ourselves and weren’t met at the car by any staff. We brought the cases to reception at which point the staff realised they hadn’t helped. It wouldn’t take much for the security guard to notify reception of our impending arrival as there is time between security check point and the reception. The Villa was nice although the air con broke on the last evening. Also the staff need to pay more attention to the small details. Some of the lights were unplugged , the blue tooth speaker unplugged. I had to go looking for the wires and sockets to make them work. The dressing gowns weren’t replaced and I had to call for replacements (only noticing when out of the shower ) All small issues in life but you pay extra for the; …", ,Positive
7,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1115-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"Absolutely wonderful hotel with incredibly friendly, helpful staff and welcoming owners. Stunning location, with every amenity you could wish for to help you completely relax and enjoy a fabulous stay in paradise! Hugely recommended if you are seeking to completely get away from it all.", ,Positive
8,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1075-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: October 2011,Jspn wrote a review Oct 2011,Jspn,"After a 14 hour flight from San Francisco to Hong Kong and a 4 1/2 flight to Denpasar, we were exhausted. We opted for the police escort from the airport to the hotel (arranged for by the hotel @ $175 US) and it was worth every cent. Denpasar at rush hour is the worst. With the escort with lights and siren, we saved at least an hour of agonizing delay. The hotel was everything that we expected visually but the delightful surprise was the staff. In all of our travels we have never been treated so well. From the check in to the cleaning and dining room staff and to the shuttle drivers, everyone was gracious without being obsequious.; …",Paradis in the valley,Negative
9,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1165-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: June 2008,KT666 wrote a review Jun 2009,KT666,"After a great deal of research for the perfect Ubud hotel, we found it! Loved, loved, loved this hotel. We travel first class all over the world, and have not one criticism of this heaven on earth. The villa was luxurious and comfortable as could be. The 6 course dinner we had was one of the best meals we've had in our 6 decades on earth. The service was always with a smile, always a ""sure"" with any request made. We stayed for 5 nights and would have liked to move in. Andrea L.A.",SECRET TREASURES....,Positive
10,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or235-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: July 2018,Fendi Sondakh wrote a review Jul 2018,Fendi Sondakh,"After a not so perfect wedding (due to health) we were very much looking forward to our honeymoon. To our surprise upon check in, we were upgraded to the Viceroy’s Vice Regal 1. What an amazing villa. Extremely private and a very comfortable stay. From the king size bed to our very own heated pool surrounded by lush grass and tropical plants. Not to mention the water filtration system they have so there’s no need to worry about water contamination: cocktails with ice were enjoyed with peace of mind! Totally in awe of the beautiful surroundings this peaceful resort rests in. The staff are such beautiful people. Nothing is a bother and they are always aiming to please. Massages were ah-mazing by the very talented staff at Lembah Spa. The couples massage in our own villa was; …",Heaven on Earth (Ubud),Positive
11,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or1085-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html, , , ,"After reading a lot of reviews on trip advisor and other pages, we finally decided to book our stay here. The customer service / phone booking already was very, very well done - mostly thanks to the great explanations of the British chap on the phone, whose name I forgot (unfortunately). we've spent a long weekend here and we have to say, that we have a rather mixed review of the place. Whereas, the hotel and it's rooms are superb and very modern / luxurious - other things were rather bothersome. Especially the construction around it - which will surely not be finished anytime soon, given that we could see villas being completely rebuilt, from ground up - I can only assume, but I would not expect this to finish anytime soon (as stated in other reviews before). the constant smell; …", ,Negative
12,https://www.tripadvisor.com/Hotel_Review-g297701-d603335-Reviews-or980-Viceroy_Bali-Ubud_Gianyar_Regency_Bali.html,Date of stay: February 2013,lisach wrote a review Mar 2013,lisach,"After staying 4 nights in Samaya Seminyak, we were thinking to go to Samaya Ubud. Then in Small Luxury Hotel's web site I saw Viceroy and after checking comments in tripadvisor, we decided 4 nights in Viceroy and it was a very good decision. If I write here, like some others, "" this is the best hotel in Ubud "", it will not be fair because I did not see the others. But it is not also fair this hotel is in 29th place in Ubud tripadvisor.! It has to be surely in first 3. When you check in, you are welcomed with Balinese hospitality and till you leave you feel it. In every small corner in the villa or in the hotel you can also smell Balinese culture. Wood carving products, statues, all let you feel that you are in Bali. Also Perfect balance between privacy and nature. Deluxe; …",fantastic although obviously quite spendy,Positive
