Column1;Page Url;date-post;Text;Date Stay;title-text;nama-responden;rev;Aspek
0;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or190-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;San7979 wrote a review Jul 2019;- butler service that actually gets you anything in 5 mins - plantation restaurant had best steak and lamb chops ever - fabulous breakfast and staff in general - good clean beach, no unnecessary solicitations, live bands, great drinks and food at beach nearby;Date of stay: July 2019;Fantastic Stay;San7979;Positive;kenyamanan
1;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or75-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Alex Morrell wrote a review Nov 2019;"15 of our family &amp; friends stayed 7 nights at double six on the beach!!! The service was incredible / staff were friendly &amp; attended to our every need. There is a young lady named Lena on reception who was just incredible she booked taxis restaurants etc etc can’t thank her enough. All in all double six was fancy fun &amp; we will return - Thankyou 🥰";Date of stay: November 2019;Honeymooning with our Baby;Alex Morrell;Positive;layanan
2;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2535-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;findpeace wrote a review Aug 2014;"2014 was our 6th year to Bali and we have stayed at the same place every year. Watching the Double Six in Seminyak being built and come together was exciting and something told us when it was finished we must stay there. MAGNIFICENT just isn’t enough to describe our stay at the Double Six! From the moment my daughter and I arrived we were greeting by the Double Six friendly staff, warm and very welcoming. We were taken to our room and there he was ‘our own butler’ waiting with chilled champagne and refresher towels. An absolute pleasure walking in to our room, it was so inviting, the first thing I noticed was the fresh flowers, those extra touches make you feel special and not to mention the fresh fruit bowl, which was replenished every day. Breakfast was the best we have; …";Date of stay: August 2014;Fit for a King;findpeace;Positive;kenyamanan
3;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2545-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;LET_Aus wrote a review Aug 2014;"5 days ago we applied for an 8 night stay at Double Six in Semanyak providing full payment via credit card. A computer gerated response confirmed a booking number and stated we would be contacted within 24 hours. Since then we have followed up on two ocassions with the Australian representative Luxury Escapes by email made two phone calls and the only reponse we have had is asking us again for our details. This is unforgivable service for a ""5 plus star"" resort. Our booking request was for 4 weeks time flight prices have gone up and we are left still with no idea of where we stand.";Date of stay: August 2014;Wonderful service!;LET_Aus;Negative;layanan
4;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or40-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;A fabulous hotel. Wonderful staff, very friendly and extremely helpful. Nothing was a problem. Food was great. Easy to walk to different places. Pool is amazing. Thanks for making our stay so relaxing and enjoyable. Will Definitely return.; ; ; ;Positive;layanan
5;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2340-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;A friend and I both booked at the same time, my friend received complimentary vouchers for dinner a massages and recieved nothing. The people staying in the room next door mixed up their room by accident and managed to use their swipe card and get into my room in the middle of the night. When I complained nothing was resolved nor was I offered anything complimentary to make up for this mistake. After I checked out my car was not due to arrive for several hours and I found they weren't as friendly as they had been all week. The fridge was warm and the meals were small and over priced.; ; ; ;Negative;layanan
6;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2445-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;A fusion of boutiqueness, location and 5 star luxury. Double 6 is a gem of a hotel offering facilities that will blow your mind. The Seminyak Italian restaurant was scrumptious, the rooms spacious - the bathroom bigger than most peoples lounge rooms, Rooftop is not to be missed and was a highlight of my stay in Bali this time. There is nothing like it. The staff were incredibly hospitable nothing was too much trouble, I almost felt like extended family. That boutiqueness and personal service are much harder to find in much larger impersonal resort brands. Double 6 you have an amazing product and I will be telling everyone to choose you first since you made my time in Bali magical. Thank you.; ; ; ;Positive;layanan
7;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2500-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Debbie W wrote a review Sep 2014;A new hotel, the accommodation was first class but the staff were the standouts. Nothing was a problem for any of them, They genuinely wanted to make sure our stay was a memorable one. They succeeded. Food and drink reasonably priced for a luxury hotel, Aqua Perla Spa excellent and the rooftop bar spectacular. The hotel has some type of relationship with the Ku Da Ta and the Chez Gado Gado restaurants and provide you free return transport. Both restaurants are quality establishments (Chez GG a fine dining experience) Found this hotel on Luxury Escapes and thats what it turned out to be. Had a great 8 day stay. Many thanks to the staff, particularly Chadney, the Executive Restaurants Manager, who enhanced our experience.;Date of stay: September 2014;"""AWESOME LUXURY HOTEL""";Debbie W;Positive;layanan
8;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or120-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;MichaelSSS wrote a review Oct 2019;A truly wonderful experience from start to finish. The service was above and beyond with attentive staff and great facilities, we really felt looked after. We had a beautiful room with pool and ocean view, we will certainly be back.;Date of stay: October 2019;A brilliant hotel, excellent location and terrific staff;MichaelSSS;Positive;kenyamanan
9;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2550-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"“Simply Spectacular”.......10 Stars We recently stayed at Double Six, Seminyak for our Honeymoon. Arriving quite late in the evening we were so pleased we had pre-arranged our Transport with Double Six Hotel. We were so thrilled to be greeted at Bali Airport by the smiling faces of Tea &amp; Agus who escorted us to the Double Six luxury vehicle, presented us with a cool hand towel &amp; a welcome drink, Tea directed our attention to the bottles of water that were also available in the car. Driver Agus asked if the music playing was suitable for us. We sat back &amp; relaxed as we travelled to Double Six Hotel, whilst Tea processed our Hotel Registration in the vehicle, we realised that this was going to be a very exciting &amp; different experience to other Hotels. As we pulled up to Double; …"; ; ; ;Positive;layanan
